id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b05_SAEM,eta_b15_SAEM,eta_b06_SAEM,eta_b16_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha15_SAEM,eta_alpha16_SAEM,eta_alpha21_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha25_SAEM,eta_alpha26_SAEM
85,-1.15591,0.00882836,-0.00950149,-0.180228,0.0140174,0.00340483,1.56265,0.175221,1.41633,0.0878778,0.374458,-0.00168061,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0.105225,0.218183,-0.0522865,1.89935,0.0394637,0.00165045,0.280192,-0.0394791,-0.428479,-0.0214082,1.08419,0.0559891,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,-1.36787,0.00222517,-0.00971774,-0.23322,0.0578557,-0.000691588,-0.644373,0.0210092,-0.158116,-0.0118157,0.754789,-0.00147269,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,-1.65062,-0.0631963,0.0598,-0.188032,0.0123562,-0.00365344,0.367642,0.0681852,-0.0215464,-0.000187787,-0.986809,-0.0387387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,-0.161215,0.00498921,-0.00925425,-0.177578,0.00293609,-0.00101216,0.903665,0.264183,1.18388,0.184931,1.30928,0.0989799,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0.835137,0.0115974,-0.00823357,-0.180469,-0.0366332,-0.0017099,-0.917415,0.0641346,-0.604495,0.0128017,0.267888,0.00809158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,-0.0697463,-0.0443107,0.0277082,-0.0492383,-0.0534447,-0.00305318,0.0109291,0.0685783,0.746269,0.0121651,0.504473,0.00426682,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2.07009,0.00907939,-0.0643027,0.348881,-0.0123536,-0.00448717,-0.251095,-0.102696,-0.207521,-0.0460701,-0.576779,0.0841694,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,-2.17946,0.0111104,-0.0183292,-0.24879,0.0105926,-0.00261585,-1.65471,-0.228487,-1.36884,-0.203286,-0.494363,-0.0194226,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0.900788,-0.0152718,-0.0146507,-0.4281,-0.034976,0.000878607,-0.565128,0.352101,-0.471979,0.243349,-0.523326,0.0600013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0.459957,-0.0668467,0.125319,0.390243,0.056356,0.00231045,0.797408,-0.188743,0.733287,-0.0761714,0.408877,0.0351472,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,1.64428,0.233524,-0.0130128,-0.696953,0.0402462,-0.00334438,0.605864,0.168322,0.46443,0.127157,-0.602193,0.0354074,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0.606278,0.0147408,0.00441922,-0.328619,0.0489666,0.00331214,-0.231043,0.0945109,0.339257,0.0247245,0.933763,-0.0210174,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0.886196,-0.0366441,0.00304741,-0.311557,-0.0213231,0.00150579,-0.467759,0.0740463,-0.74178,0.0155066,0.239723,0.0210954,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,2.73828,0.0897243,-0.0274389,0.122064,0.0349903,0.00525506,-0.397349,-0.254565,-0.697634,0.0289199,0.515574,0.0889109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1.63577,-0.0547076,0.0227167,-0.109225,0.0108445,0.00405937,-1.10944,-0.138118,-0.773076,0.0214793,-0.418326,-0.0240829,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0.985754,0.164319,-0.0112577,0.0908458,-0.0246092,0.00125254,1.83901,-0.0487956,1.07334,0.116991,1.73778,0.0236057,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,-0.473601,-0.0240794,-0.0108047,-0.29471,-0.0228536,-0.00291665,-0.0424869,0.0083901,0.0809125,0.0166289,-1.04421,-0.0332676,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,-0.211268,-0.0357172,0.0295831,-0.274032,-0.0321404,0.00713832,-1.58811,0.0822477,-1.13375,0.0387028,-1.2834,0.00749356,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1.09585,-0.0946682,0.0580464,0.158965,0.0626899,0.00753157,0.546993,0.135143,0.612258,0.0208536,0.363324,-0.0208309,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0.371254,-0.0140555,-0.00411039,-0.23785,0.0428216,0.00234727,1.00633,-0.033408,1.31286,0.0218161,-0.857716,-0.0111772,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,-1.79387,-0.0141069,-0.00251517,-0.0643092,0.0598601,0.000482358,0.745715,0.00670471,-0.493962,-0.00576745,-0.201712,-0.00210984,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,-0.238303,-0.0290081,0.00202161,-0.0373159,0.0197422,0.000227719,-0.220932,-0.00923287,-0.179186,-0.00278375,0.613426,0.00160001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0.846456,-0.0196954,0.00484922,-0.0709345,-0.0425958,0.000313796,0.344398,-0.0344467,-0.22075,-0.00829658,1.02464,-0.00783883,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,-1.27177,-0.0503007,0.018704,-0.174104,-0.0135874,0.00276685,0.250436,-0.034515,-0.255218,-0.00264157,0.326474,-0.000126879,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,-0.490947,-0.0161188,0.00583254,-0.0225961,0.0211031,0.000555475,0.201385,-0.00786029,0.255751,0.00839507,0.80294,-0.00767561,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,1.03629,0.0422514,-0.0217168,0.0261223,0.0538614,0.000674604,-1.47714,-0.11785,-0.440282,-0.00193352,-0.188239,0.00329462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,-0.158058,-0.183541,0.00439904,0.479118,-0.000986316,-0.00233648,0.257612,-0.0813178,-0.298605,0.0972426,-0.243773,-0.0416157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1.10971,-0.0600595,0.0278702,-0.226686,0.0341127,0.00231944,-0.522763,-0.0568093,-0.0803689,0.0143351,0.355494,0.0426599,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,2.21458,-0.0839791,0.00101923,-0.128951,-0.0637029,-0.000651118,0.272525,0.0046185,0.645623,-0.0107714,-0.0869949,-0.00352508,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,0.2769,0.113791,-0.0116105,-0.0376829,-0.00884188,-0.00913761,0.580382,-0.0834496,1.27153,0.0192646,0.275018,0.075967,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,1.76915,0.107443,-0.0445153,0.611991,0.0219458,0.000229394,0.00600022,-0.051074,-0.631885,-0.0405437,-0.636523,-0.00893748,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0.00661933,0.0254178,-0.011835,-0.260845,0.039747,0.00148665,0.228818,-0.146016,-0.259729,-0.0200555,0.46559,0.000734718,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1.65017,0.0431175,-0.00722124,-0.337636,0.0199236,-0.00590271,-0.466746,0.0737782,-0.806286,0.0223008,0.393869,0.0163348,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,2.39259,0.197306,0.0232336,0.449818,0.0172303,0.00172833,-2.68398,-0.0196145,-1.79583,-0.039515,1.51845,-0.0247258,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0.632616,0.0482801,-0.0119315,0.238199,0.00779324,-0.0020406,0.952878,0.0859605,0.62366,0.000483534,-0.0331121,-0.000514042,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,1.4285,-0.0172531,0.0081634,-0.0881527,-0.0271065,0.000582834,-1.03009,-0.0213747,-0.505217,-0.0109571,-0.728895,-0.00393046,0,0,0,0,0,0,0,0,0,0,0,0,0,0
