id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b04_SAEM,eta_b14_SAEM,eta_b05_SAEM,eta_b15_SAEM,eta_b07_SAEM,eta_b17_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha14_SAEM,eta_alpha15_SAEM,eta_alpha17_SAEM,eta_alpha21_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha24_SAEM,eta_alpha25_SAEM,eta_alpha27_SAEM
72,0.977638,0.0426339,-0.0397496,0.167909,0.00960524,0.00261477,0.455772,0.526052,-1.49724,-0.00636711,-0.499862,0.289685,-119.61,-2.43682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,-0.086072,-0.0735365,0.00740295,-0.166993,0.07875,0.00487585,0.429005,0.193264,-1.6912,0.02918,-0.14889,0.067174,13.4978,-5.43782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,-1.05629,-0.0143739,-0.00414359,-0.155161,0.0372577,0.000995055,1.00529,0.0903614,-0.412331,-0.0223494,0.913452,0.0697561,-25.8644,-0.406099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,-0.524172,-0.079932,0.0437126,0.167902,0.00707458,0.00401576,1.18852,-0.112787,0.0969156,0.0197227,0.595253,0.0653752,124.21,1.99467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,-2.40785,-0.10559,0.00571538,0.058514,-0.0585941,-0.00183311,0.121221,-0.173367,0.0200625,-0.0222987,-0.527399,-0.0430231,-256.121,-2.68787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,-0.882306,-0.00341368,0.00259401,-0.265757,-0.0026758,-0.00858466,0.162978,0.081829,0.758508,-0.109458,0.300455,0.0144485,116.021,6.26861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,-0.748884,0.0253594,-0.00525841,-0.0498662,-0.059966,-0.00165919,0.431318,0.049871,0.728619,0.00740462,-0.0395518,-0.011663,88.7324,-0.00461256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,-1.85204,-0.100953,0.0201739,0.159123,0.050223,-0.000588083,0.332843,0.0394163,-0.612837,-0.00489742,-0.859656,0.009864,51.3197,-2.06628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,-3.83037,0.00308352,-0.0381678,-0.334393,-0.016466,5.66755e-05,-0.489005,-0.0675064,2.41888,-0.00806674,-0.956666,-0.0750656,30.2083,7.1309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2.73315,0.0169183,-0.0188796,-0.0940829,-0.0244146,0.0025374,-0.0713354,-0.450997,2.9728,0.0282883,-0.947813,-0.340902,21.7307,1.05355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1.85675,0.0828378,-0.018811,0.0323338,-0.0571864,-0.00483803,-0.555757,-0.0546449,-0.123893,0.00255912,0.321152,0.00584453,57.7708,2.15972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,1.00401,0.0122892,-0.00341897,-0.0530986,-0.0448651,-0.00102053,0.957693,0.0703407,-0.190831,0.00898207,0.341645,-0.0191939,-152.835,-0.400284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
