id,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM
98,-0.00321342,-0.00158862,1.01974,-0.00495182,0,0,0,0,0,0,0,0
99,0.00395006,0.00594409,-0.792536,0.0350787,0,0,0,0,0,0,0,0
100,0.00186432,0.000312541,0.482389,0.000345423,0,0,0,0,0,0,0,0
101,-0.0024897,-0.000340647,-0.561233,-0.0165517,0,0,0,0,0,0,0,0
102,0.00706667,0.000514855,0.827137,-0.00951313,0,0,0,0,0,0,0,0
103,0.00769591,0.00637439,-0.908582,0.0174632,0,0,0,0,0,0,0,0
104,0.0190371,-0.00565769,-0.0636958,0.0608969,0,0,0,0,0,0,0,0
105,0.0409668,0.00133254,0.737652,0.0951605,0,0,0,0,0,0,0,0
106,0.0377465,0.00310906,-0.783477,-0.222229,0,0,0,0,0,0,0,0
107,0.0520286,0.00120898,-0.0281792,-0.0113199,0,0,0,0,0,0,0,0
108,0.0180778,0.00248559,0.497774,-0.14012,0,0,0,0,0,0,0,0
109,-0.0731255,-0.00175498,0.774954,0.108682,0,0,0,0,0,0,0,0
110,0.0200351,-0.00311071,0.0644946,-0.0112931,0,0,0,0,0,0,0,0
111,0.0282689,0.000609044,-0.591475,0.000713952,0,0,0,0,0,0,0,0
112,-0.00710562,0.00106333,0.671725,-0.0495601,0,0,0,0,0,0,0,0
113,-0.0148378,-0.00204286,0.0633755,0.020383,0,0,0,0,0,0,0,0
114,-0.0127527,-0.00640342,-0.840549,0.0496924,0,0,0,0,0,0,0,0
115,0.00521468,-0.00161525,0.596704,0.00756716,0,0,0,0,0,0,0,0
116,-0.0143455,-0.00114398,0.48032,0.00661703,0,0,0,0,0,0,0,0
117,-0.0438946,-0.00289246,-0.00534109,0.0154515,0,0,0,0,0,0,0,0
118,-0.0543136,-0.000279671,-0.679164,-0.238777,0,0,0,0,0,0,0,0
119,0.0216783,0.000275611,-0.751717,-0.0173199,0,0,0,0,0,0,0,0
120,0.00673104,0.00194024,-0.145658,0.109536,0,0,0,0,0,0,0,0
121,-0.0151647,0.00196725,0.201616,-0.0544359,0,0,0,0,0,0,0,0
122,0.0108387,0.00191134,-0.585318,0.0777313,0,0,0,0,0,0,0,0
123,-0.0277154,-0.0020832,0.694856,0.00733932,0,0,0,0,0,0,0,0
124,-0.0389829,0.000436946,0.206865,-0.0214575,0,0,0,0,0,0,0,0
125,0.0262161,-0.00225398,1.04158,0.00993186,0,0,0,0,0,0,0,0
126,-0.00872573,-0.00257755,-0.367684,-0.0500894,0,0,0,0,0,0,0,0
127,0.0277938,-0.0093386,0.903698,0.253866,0,0,0,0,0,0,0,0
128,-0.0111612,0.00351084,0.572858,0.0537831,0,0,0,0,0,0,0,0
129,-0.02394,-0.000357904,0.0336226,-0.0794867,0,0,0,0,0,0,0,0
130,0.0227793,-0.00197273,0.273972,-0.0813082,0,0,0,0,0,0,0,0
131,0.0342714,0.00181116,-1.19944,-0.151189,0,0,0,0,0,0,0,0
132,0.00796526,0.000198102,-0.357403,-0.00381446,0,0,0,0,0,0,0,0
133,-0.0122087,0.00444668,-0.122288,-0.00217268,0,0,0,0,0,0,0,0
134,-0.0515143,-0.0015148,0.186899,0.0011629,0,0,0,0,0,0,0,0
135,-0.00259771,0.000150525,-0.728217,-0.0177375,0,0,0,0,0,0,0,0
136,-0.0164599,-5.94841e-05,-0.372555,-0.0535135,0,0,0,0,0,0,0,0
137,0.00802832,-0.00201708,-0.486142,-0.0674573,0,0,0,0,0,0,0,0
138,-0.00679988,-0.0012892,0.232523,-0.0352941,0,0,0,0,0,0,0,0
139,-0.0417315,-0.00323668,-1.71016,0.087805,0,0,0,0,0,0,0,0
140,-0.052616,-0.00147311,0.617966,-0.0224685,0,0,0,0,0,0,0,0
